,Geneid,_filesTien_Cont1_S25sorted,_filesTien_Cont2_S26sorted,_filesTien_Cont3_S27sorted,_filesTien_Zn1_S28sorted,_filesTien_Zn2_S29sorted,_filesTien_Zn3_S30sorted
2783,ENSG00000230880,21,186,197,166,206,108
2784,ENSG00000203849,8,48,72,47,41,35
2785,ENSG00000266657,0,1,0,2,5,2
2786,ENSG00000239012,0,0,2,1,3,0
2787,ENSG00000265466,0,0,0,7,1,0
2788,ENSG00000225015,0,6,15,46,45,28
2789,ENSG00000265715,0,5,3,9,3,1
2790,ENSG00000233218,3,34,42,123,123,96
2791,ENSG00000242676,0,1,0,0,2,1
2792,ENSG00000230446,1,5,5,2,2,3
2793,ENSG00000236055,0,10,13,16,15,4
2794,ENSG00000230255,3,28,36,14,21,12
2795,ENSG00000229683,0,3,5,3,4,2
2796,ENSG00000234978,15,176,252,200,102,94
2797,ENSG00000232745,1,52,52,95,58,37
2798,ENSG00000231182,0,0,1,0,0,0
2799,ENSG00000232274,4,84,138,187,170,108
2800,ENSG00000230850,14,99,148,215,164,137
2801,ENSG00000237291,2,12,13,63,63,21
2802,ENSG00000265661,0,0,6,5,1,2
2803,ENSG00000232336,0,21,21,23,10,11
2804,ENSG00000225278,0,15,14,14,8,10
2805,ENSG00000231289,2,11,7,11,3,5
2806,ENSG00000229420,0,2,3,1,2,0
2807,ENSG00000234654,0,0,11,1,1,0
2808,ENSG00000225010,0,0,0,0,0,0
2809,ENSG00000232571,2,2,4,4,2,1
2810,ENSG00000242569,0,1,5,3,3,4
2811,ENSG000001850441,4,31,35,26,30,17
2812,ENSG00000238261,1,39,60,77,84,34
2813,ENSG00000266811,0,1,1,1,0,1
2814,ENSG00000272302,0,0,0,0,0,0
2815,ENSG00000226897,0,0,0,0,0,0
2816,ENSG00000235566,0,0,0,0,0,0
2817,ENSG00000238603,0,0,0,0,0,0
2818,ENSG00000223804,0,8,0,0,6,2
2819,ENSG00000252135,0,0,0,0,0,0
2820,ENSG00000238825,0,0,0,0,0,0
2821,ENSG00000231734,0,0,1,0,0,0
2822,ENSG00000206694,0,0,0,4,0,0
2823,ENSG00000226637,0,0,0,0,0,0
2824,ENSG00000240007,0,0,0,0,0,0
2825,ENSG00000236334,0,0,0,1,0,0
2826,ENSG00000263497,0,0,0,0,0,0
2827,ENSG00000215784,0,40,12,5,13,19
2828,ENSG00000196369,0,8,26,5,2,0
2829,ENSG00000271644,0,0,0,0,0,0
2830,ENSG00000224363,0,0,0,1,1,0
2831,ENSG000001628251,7,123,171,136,121,80
2832,ENSG00000235398,0,11,3,1,0,8
2833,ENSG00000207106,0,0,0,0,0,0
2834,ENSG00000231360,0,5,5,1,1,3
2835,ENSG00000255854,1,6,5,4,4,3
2836,ENSG00000271223,0,0,0,0,0,0
2837,ENSG00000236943,2,19,19,22,12,8
2838,ENSG00000206828,0,0,0,0,0,0
2839,ENSG00000201699,0,2,0,0,4,0
2840,ENSG00000225241,7,70,127,104,105,56
2841,ENSG00000203843,0,0,0,0,6,0
2842,ENSG00000215861,0,0,10,0,2,2
2843,ENSG000001686141,4,144,219,197,181,94
2844,ENSG00000254539,0,0,0,3,0,0
2845,ENSG000001781041,15,212,346,340,233,347
2846,ENSG00000255148,0,0,0,0,0,0
2847,ENSG00000254913,0,0,0,0,0,0
2848,ENSG00000266739,0,0,0,0,0,0
2849,ENSG00000222788,0,0,0,0,0,0
2850,ENSG00000268172,0,3,0,2,2,2
2851,ENSG00000272755,0,0,0,0,0,0
2852,ENSG00000252656,0,0,0,0,0,0
2853,ENSG00000271546,0,0,0,0,0,0
2854,ENSG00000223380,0,4,7,22,13,3
2855,ENSG00000177144,3,12,36,24,20,23
2856,ENSG00000201789,0,0,0,0,0,0
2857,ENSG00000272709,0,2,1,0,0,0
2858,ENSG00000213240,0,3,11,8,6,8
2859,ENSG00000255168,0,0,0,0,0,0
2860,ENSG000001633861,26,256,380,413,337,197
2861,ENSG00000233396,0,9,8,14,12,9
2862,ENSG00000201558,0,0,0,0,0,0
2863,ENSG000001685091,0,0,2,0,0,0
2864,ENSG00000117289,5,79,120,60,35,28
2865,ENSG00000121851,0,3,5,3,9,5
2866,ENSG00000181039,0,3,0,0,3,0
2867,ENSG00000234222,0,0,0,0,4,2
2868,ENSG00000152022,16,223,285,252,185,121
2869,ENSG00000131795,15,151,181,153,154,96
2870,ENSG00000211451,0,2,6,2,8,4
2871,ENSG00000131779,1,41,4,6,3,7
2872,ENSG00000143127,0,0,3,1,0,0
2873,ENSG00000244619,0,0,0,0,0,0
2874,ENSG00000198483,0,0,0,0,0,0
2875,ENSG000001317881,4,72,91,72,54,67
2876,ENSG00000186364,0,9,12,20,13,9
2877,ENSG00000186141,60,37,60,38,41,21
2878,ENSG00000121848,15,232,364,279,202,187
2879,ENSG000001172811,0,0,1,4,0,0
2880,ENSG00000174827,0,2,5,0,0,0
2881,ENSG000001172621,15,101,246,355,83,63
2882,ENSG00000235702,0,1,0,0,0,0
2883,ENSG00000196644,0,20,17,8,1,2
2884,ENSG00000215860,0,4,0,0,2,0
2885,ENSG00000201105,0,0,0,0,0,0
2886,ENSG00000234245,0,2,0,0,0,0
2887,ENSG00000207418,0,0,0,0,0,0
2888,ENSG00000229828,0,0,0,0,0,0
2889,ENSG000001520421,3,125,123,95,151,50
2890,ENSG00000232637,4,77,86,115,58,34
2891,ENSG00000227216,0,2,3,7,0,1
2892,ENSG00000198658,0,4,3,10,4,4
2893,ENSG00000227733,0,0,0,0,0,0
2894,ENSG00000238765,0,0,0,0,0,0
2895,ENSG00000239475,0,0,0,0,0,0
2896,ENSG00000186275,1,70,119,85,92,77
2897,ENSG00000244371,0,0,0,0,0,0
2898,ENSG00000234225,0,0,1,0,2,0
2899,ENSG00000227242,2,5,10,27,13,8
2900,ENSG00000225603,0,2,0,0,1,0
2901,ENSG00000201142,0,0,0,0,0,0
2902,ENSG00000230832,0,4,2,2,0,1
2903,ENSG00000131791,12,200,583,148,137,286
2904,ENSG00000237188,0,3,1,0,1,2
2905,ENSG00000273071,0,0,0,0,0,0
2906,ENSG00000131781,0,0,12,27,12,4
2907,ENSG00000271721,0,0,2,2,0,0
2908,ENSG00000180867,0,9,19,4,2,5
2909,ENSG00000226015,0,31,67,53,46,54
2910,ENSG00000236806,0,0,0,0,0,0
2911,ENSG000001317781,89,76,111,486,100,319
2912,ENSG00000213226,0,0,0,0,0,0
2913,ENSG00000226653,0,0,0,0,0,0
2914,ENSG00000207209,0,0,0,0,0,0
2915,ENSG00000272443,1,2,0,0,0,3
2916,ENSG00000272480,0,0,0,0,0,0
2917,ENSG00000234610,0,0,4,0,0,0
2918,ENSG00000116128,8,205,175,157,96,119
2919,ENSG00000162836,5,116,114,103,75,51
2920,ENSG00000242379,0,0,0,0,0,0
2921,ENSG00000227139,0,0,0,0,0,0
2922,ENSG00000143140,0,0,0,0,2,0
2923,ENSG00000234482,0,0,0,0,0,0
2924,ENSG00000234190,0,0,0,0,0,0
2925,ENSG00000223728,0,0,0,0,0,0
2926,ENSG00000121634,0,0,0,0,0,1
2927,ENSG000001880921,0,37,93,51,5,7
2928,ENSG00000215859,0,0,0,0,1,0
2929,ENSG00000244211,0,0,0,0,0,0
2930,ENSG00000273059,0,1,0,0,0,1
2931,ENSG00000206791,0,0,0,0,0,0
2932,ENSG00000229952,0,1,5,0,0,0
2933,ENSG00000206585,0,0,0,0,0,0
2934,ENSG00000227778,0,0,0,0,0,0
2935,ENSG00000203836,2,18,128,51,35,67
2936,ENSG00000225080,0,0,0,0,0,0
2937,ENSG00000203835,0,0,4,0,0,2
2938,ENSG00000269647,0,0,0,0,0,0
2939,ENSG00000232265,0,0,0,0,0,0
2940,ENSG00000226335,0,0,0,0,0,0
2941,ENSG00000238677,0,0,0,0,0,0
2942,ENSG00000224335,0,0,0,0,0,0
2943,ENSG00000227700,0,0,0,0,0,0
2944,ENSG00000199879,0,0,0,0,0,0
2945,ENSG00000234283,0,0,2,0,0,0
2946,ENSG00000228626,0,0,1,0,0,0
2947,ENSG00000231196,0,0,0,0,0,0
2948,ENSG00000238107,0,1,0,0,0,0
2949,ENSG00000244252,0,0,0,0,0,0
2950,ENSG00000235988,0,0,0,0,0,0
2951,ENSG00000224481,0,0,0,0,0,0
2952,ENSG00000252744,0,2,1,0,0,0
2953,ENSG00000202408,0,0,1,0,2,0
2954,ENSG00000272824,0,0,0,0,0,0
2955,ENSG00000207340,0,0,2,0,0,0
2956,ENSG00000215863,0,2,0,2,2,0
2957,ENSG00000252842,0,0,0,0,0,0
2958,ENSG00000202064,0,0,0,0,0,0
2959,ENSG00000201183,0,0,0,0,0,0
2960,ENSG00000231551,0,0,0,1,0,0
2961,ENSG00000225871,2,2,0,2,3,2
2962,ENSG00000255963,0,0,1,5,1,0
2963,ENSG00000270656,0,0,0,0,0,0
2964,ENSG00000212456,0,2,4,0,2,0
2965,ENSG00000223491,0,0,0,0,0,0
2966,ENSG000001224971,5,107,158,159,165,108
2967,ENSG00000223612,0,0,0,0,4,0
2968,ENSG00000256374,0,0,1,1,1,0
2969,ENSG00000271291,0,0,0,0,0,0
2970,ENSG00000207501,0,0,0,0,0,0
2971,ENSG00000236140,0,0,0,0,0,0
2972,ENSG00000203832,3,47,55,66,57,34
2973,ENSG00000234367,0,0,0,0,0,0
2974,ENSG00000229002,0,0,0,0,0,0
2975,ENSG00000243452,13,149,120,78,70,37
2976,ENSG00000227212,0,0,0,0,0,0
2977,ENSG00000237253,0,0,0,0,0,0
2978,ENSG00000226675,0,0,0,0,0,0
2979,ENSG00000207205,0,0,1,0,0,0
2980,ENSG00000271439,0,0,0,0,0,0
2981,ENSG00000231267,0,0,0,0,0,0
2982,ENSG00000237533,0,0,0,0,0,0
2983,ENSG00000203827,7,38,70,51,54,51
2984,ENSG00000237343,0,0,0,0,0,0
2985,ENSG00000233586,0,0,0,0,0,0
2986,ENSG00000206968,0,0,0,0,0,0
2987,ENSG00000270239,0,0,0,0,0,0
2988,ENSG00000230582,0,0,0,0,0,0
2989,ENSG00000235887,0,0,0,0,0,0
2990,ENSG00000223495,0,0,0,0,1,0
2991,ENSG00000231448,0,0,0,0,0,0
2992,ENSG00000242943,0,0,0,0,0,0
2993,ENSG00000175658,0,0,0,0,0,0
2994,ENSG00000222854,0,0,0,0,0,0
2995,ENSG00000232527,0,13,42,41,27,32
2996,ENSG00000264022,0,0,0,0,0,0
2997,ENSG00000203825,0,0,0,0,0,0
2998,ENSG00000179571,0,0,0,0,1,0
2999,ENSG00000226028,0,0,0,0,0,0
3000,ENSG00000202167,0,0,0,0,0,0
3001,ENSG00000207349,0,0,0,0,0,0
3002,ENSG00000252826,0,0,0,0,0,0
3003,ENSG00000206737,0,0,0,2,0,0
3004,ENSG00000232721,0,0,0,0,1,0
3005,ENSG00000223779,0,0,0,0,1,2
3006,ENSG00000242352,0,1,0,0,0,0
3007,ENSG00000270962,0,0,0,0,0,0
3008,ENSG00000226067,0,0,0,0,0,0
3009,ENSG00000252105,0,0,0,0,0,0
3010,ENSG00000235999,0,0,1,0,0,0
3011,ENSG00000233430,0,0,0,0,0,0
3012,ENSG00000212044,0,0,0,0,0,0
3013,ENSG00000237503,0,0,0,0,0,0
3014,ENSG00000253193,0,0,0,0,0,0
3015,ENSG00000240929,0,0,0,0,0,0
3016,ENSG00000234571,0,0,0,0,0,0
3017,ENSG00000273213,0,0,0,0,0,0
3018,ENSG00000230186,0,0,0,0,0,0
3019,ENSG00000203818,0,0,0,0,0,0
3020,ENSG00000268074,0,0,0,0,0,0
3021,ENSG00000203817,0,1,2,0,0,0
3022,ENSG00000212544,0,0,0,0,0,0
3023,ENSG00000271594,0,0,0,0,0,0
3024,ENSG00000198161,1,2,1,2,0,1
3025,ENSG00000268544,0,0,0,0,0,0
3026,ENSG00000269501,0,0,4,0,1,2
3027,ENSG00000233368,0,0,0,0,0,0
3028,ENSG00000269614,0,0,0,0,0,0
3029,ENSG00000229801,0,0,0,0,0,0
3030,ENSG00000232151,0,0,0,0,0,0
3031,ENSG00000202496,0,1,1,4,2,2
3032,ENSG00000268554,0,0,0,0,2,0
3033,ENSG00000239903,0,0,0,0,0,0
3034,ENSG00000234232,0,0,0,0,0,0
3035,ENSG00000237168,0,0,0,0,0,0
3036,ENSG00000252925,0,0,1,0,0,0
3037,ENSG00000223759,0,0,1,0,0,0
3038,ENSG00000203815,0,0,0,0,0,0
3039,ENSG00000197844,0,0,0,0,0,0
3040,ENSG00000263825,0,0,0,0,0,0
3041,ENSG00000226500,0,0,0,0,0,0
3042,ENSG00000150337,0,0,0,0,0,0
3043,ENSG00000203814,0,0,0,2,0,0
3044,ENSG00000242663,0,0,0,0,0,0
3045,ENSG00000233030,0,0,1,0,0,0
3046,ENSG00000183598,0,0,0,0,0,0
3047,ENSG00000264207,0,0,0,0,0,0
3048,ENSG00000183941,2,10,8,8,2,2
3049,ENSG00000203811,0,2,0,0,0,0
3050,ENSG00000183558,0,6,0,0,0,0
3051,ENSG00000220323,0,1,0,0,0,3
3052,ENSG00000261716,0,3,10,4,2,7
3053,ENSG00000272993,0,0,0,0,0,0
3054,ENSG00000203819,0,0,0,0,2,0
3055,ENSG00000203812,0,0,0,0,0,1
3056,ENSG00000203852,0,1,4,1,2,0
3057,ENSG00000182217,0,5,5,1,4,0
3058,ENSG00000184678,0,3,0,2,2,2
3059,ENSG00000184260,0,3,7,0,0,0
3060,ENSG00000184270,0,0,0,0,0,0
3061,ENSG00000178096,0,0,1,0,0,2
3062,ENSG00000159164,19,52,97,101,112,270
3063,ENSG00000143368,0,10,14,2,11,2
3064,ENSG000000149141,0,2,0,19,4,21
3065,ENSG000001631131,6,55,141,60,77,41
3066,ENSG00000223945,0,2,1,2,4,0
3067,ENSG00000136631,16,124,158,138,132,35
3068,ENSG00000023902,2,25,462,21,33,4
3069,ENSG00000266187,0,0,0,0,0,0
3070,ENSG000001434011,77,696,1151,913,729,449
3071,ENSG00000222222,0,0,0,0,0,0
3072,ENSG00000271845,0,1,0,4,4,9
3073,ENSG00000118298,6,50,62,58,68,30
