Geneid	X_filesTien_Cont1_S25sorted	X_filesTien_Cont2_S26sorted	X_filesTien_Cont3_S27sorted	X_filesTien_Zn1_S28sorted	X_filesTien_Zn2_S29sorted	X_filesTien_Zn3_S30sorted
EIF3IP1	1.0	8.0	21.0	18.0	13.0	11.0
EIF3J	290.0	3595.0	5069.0	4881.0	4265.0	2948.0
EIF3J-AS1	33.0	350.0	534.0	484.0	458.0	303.0
EIF3K	344.0	4290.0	5983.0	4714.0	4374.0	3048.0
EIF3KP2	0.0	0.0	0.0	0.0	0.0	0.0
EIF3KP3	0.0	0.0	0.0	0.0	0.0	0.0
EIF3LP1	1.0	81.0	96.0	65.0	66.0	48.0
EIF3LP2	2.0	31.0	72.0	60.0	42.0	30.0
EIF3LP3	3.0	35.0	47.0	19.0	18.0	14.0
EIF3M	464.0	5462.0	7777.0	7114.0	6780.0	4716.0
EIF4A1P1	0.0	0.0	0.0	0.0	0.0	0.0
EIF4A1P10	32.0	553.0	858.0	725.0	640.0	434.0
EIF4A1P11	1.0	1.0	4.0	2.0	0.0	4.0
EIF4A1P12	0.0	3.0	0.0	2.0	0.0	0.0
EIF4A1P13	0.0	0.0	0.0	1.0	0.0	0.0
EIF4A1P2	16.0	211.0	313.0	327.0	272.0	186.0
EIF4A1P3	0.0	0.0	0.0	0.0	0.0	0.0
EIF4A1P5	0.0	0.0	0.0	2.0	1.0	2.0
EIF4A1P6	0.0	0.0	0.0	1.0	0.0	0.0
EIF4A1P7	5.0	37.0	73.0	65.0	66.0	55.0
EIF4A1P8	0.0	0.0	0.0	0.0	0.0	0.0
EIF4A1P9	0.0	0.0	0.0	0.0	2.0	0.0
EIF4A2P2	0.0	5.0	0.0	1.0	4.0	2.0
EIF4A2P3	1.0	0.0	0.0	0.0	1.0	0.0
EIF4A2P4	0.0	0.0	0.0	0.0	0.0	0.0
EIF4A2P5	0.0	0.0	0.0	0.0	0.0	0.0
EIF4A3	291.0	4458.0	6177.0	5219.0	4709.0	3324.0
EIF4BP2	0.0	0.0	2.0	3.0	2.0	6.0
EIF4BP3	8.0	160.0	207.0	190.0	178.0	149.0
EIF4BP4	0.0	0.0	0.0	0.0	0.0	0.0
EIF4BP5	0.0	3.0	3.0	5.0	3.0	6.0
EIF4BP6	45.0	580.0	831.0	608.0	548.0	371.0
EIF4BP7	79.0	1015.0	1492.0	798.0	1092.0	522.0
EIF4BP8	0.0	1.0	1.0	2.0	4.0	0.0
EIF4BP9	0.0	1.0	5.0	1.0	1.0	1.0
EIF4E	141.0	2275.0	3204.0	2815.0	2540.0	1628.0
EIF4E1B	2.0	19.0	22.0	24.0	16.0	12.0
EIF4E2	410.0	5150.0	7155.0	6806.0	6309.0	4361.0
EIF4E2P1	0.0	0.0	0.0	1.0	0.0	0.0
EIF4E3	206.0	2255.0	3169.0	2720.0	2391.0	1631.0
EIF4EBP1	305.0	4178.0	5594.0	4545.0	4225.0	2998.0
EIF4EBP1P1	0.0	6.0	0.0	6.0	0.0	0.0
EIF4EBP1P2	0.0	0.0	0.0	0.0	0.0	0.0
EIF4EBP2	935.0	12272.0	17183.0	14917.0	12960.0	8676.0
EIF4EBP2P1	0.0	2.0	1.0	0.0	2.0	2.0
EIF4EBP2P2	0.0	1.0	0.0	1.0	1.0	0.0
EIF4EBP2P3	0.0	0.0	0.0	0.0	0.0	0.0
EIF4EBP3	0.0	16.0	13.0	10.0	7.0	3.0
EIF4HP1	38.0	490.0	695.0	582.0	501.0	360.0
EIF4HP2	5.0	38.0	47.0	43.0	23.0	28.0
