gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG000002373101,44.951058060929,0.0527205476809589,0.158160842850046,0.376339144258977,0.6271492406196
ENSG0000012687011,1214.14985187191,0.0565839108762782,0.0708398709853822,0.376393594480837,0.627171096975372
ENSG000001056135,355.55914437045,-0.073347643613452,0.110540205101171,0.376463552417548,0.627218785640875
ENSG000001287105,178.442694433533,-0.0744539632632567,0.128513990617962,0.376971803682756,0.627963211494614
ENSG000002395592,36.5341961764077,0.0489561135511545,0.159004533381542,0.376993138700615,0.627963211494614
ENSG0000017148810,271.435243266854,-0.0739769516422905,0.116540989544151,0.377102960486256,0.62803829604868
ENSG000001987834,394.897390402707,0.0722352223813411,0.107600074387353,0.377120998833423,0.62803829604868
ENSG000001823629,1047.80408394534,-0.0544412893386711,0.068006743920228,0.377169245632795,0.628049710709658
ENSG000002576213,940.579180101086,-0.0586494356466148,0.0755542866797579,0.377302993430164,0.628203480666726
ENSG000001002819,1529.40746771928,0.0502047847333919,0.0620470586618623,0.37745902228975,0.628394310423786
ENSG0000014785412,1167.41759800199,-0.0563763451878643,0.071726774966181,0.377722883995635,0.62876459888818
ENSG000000707315,37.4065866324737,0.0452953595412378,0.15913139147858,0.377976457278025,0.62911768168928
ENSG0000012951514,1211.14456147882,-0.0538054768885743,0.067258670360381,0.378039239683205,0.629153162631706
ENSG0000013159113,337.246877737636,0.0725211007348986,0.107913763511823,0.378317102182629,0.629394441363821
ENSG0000017104510,185.159203030606,0.0473454230309402,0.159851974254674,0.378262083131694,0.629394441363821
ENSG0000010305114,2199.15067503892,-0.0442536121870799,0.0534060077216605,0.378350141677942,0.629394441363821
ENSG000001615518,511.439988618019,0.0673022132847728,0.0921430850188839,0.378285457594208,0.629394441363821
ENSG000001983156,1352.85609493326,-0.053350801059763,0.0664456992375758,0.378434419568028,0.629433087052118
ENSG000001565219,670.323817112078,0.0661418050665454,0.0911646856311582,0.378456340418933,0.629433087052118
ENSG000000533718,483.563733865052,0.0703980083341247,0.102337636105337,0.378624969636137,0.62943756593504
ENSG000001104367,144.369391198776,0.0721477173155987,0.139427846835098,0.378502133182615,0.62943756593504
ENSG000001286267,516.863668703382,0.0707222075436095,0.100658107352881,0.378594504846709,0.62943756593504
ENSG000001244597,416.008572782448,0.0726068409230421,0.108229441575989,0.378543320539383,0.62943756593504
ENSG000002350984,31.3787731429364,0.0472212775049612,0.159170499641641,0.378814181078935,0.629613203228738
ENSG000002247281,32.4147695364819,0.0484790292671981,0.159678939899302,0.378789424004644,0.629613203228738
ENSG000002604421,248.249360149384,0.074149987201501,0.119798207237438,0.378855107459196,0.629613203228738
ENSG000001434587,405.769342281004,0.0714091400096274,0.104114910388507,0.378939524711936,0.629684526169555
ENSG000000503937,1631.52768286665,0.0511718225755697,0.0636827274577987,0.379080758467856,0.62985023524231
ENSG000000495416,220.056648250698,-0.0196189135045065,0.160543783815783,0.379238920817815,0.629988055383176
ENSG000002550261,43.8709792760258,-0.0562680903724156,0.156897484378255,0.379269159818865,0.629988055383176
ENSG000002630131,41.7614083089888,0.0554337322412302,0.15731619714045,0.379288267707461,0.629988055383176
ENSG000000997837,14352.4743128057,0.0266991482755336,0.0308573319736771,0.379372811083926,0.630059507725089
ENSG000001842078,1838.40330153231,-0.0551577373366993,0.0703631853182517,0.379422605732249,0.63007324031689
ENSG0000007435612,1652.7682227615,-0.0500349710866127,0.0616404192267043,0.379536878458607,0.630132319702385
ENSG000001799225,297.581027704248,-0.0725241822931124,0.113633186499431,0.379541242322553,0.630132319702385
ENSG000001668815,2479.85550621513,-0.0437574683266643,0.0529166355361158,0.379640013807305,0.630227344584052
ENSG0000010212511,26.9434803839102,-0.0198977444651955,0.160436652323728,0.379710725578677,0.630275772804426
ENSG000001580922,664.239770645625,-0.061847272923435,0.0819287600113815,0.380079587627946,0.630793596754844
ENSG000000820684,587.990065321994,-0.064334130103066,0.0871532789221003,0.380147409788855,0.630793596754844
ENSG000001610217,1940.42544155043,-0.0466842637623349,0.0568988258311696,0.380143351454233,0.630793596754844
ENSG0000012332913,65.508295770967,-0.0566332202898649,0.155517352387738,0.380233057646311,0.63086672320038
ENSG0000018498512,61.4152307165855,-0.0623558194349583,0.154016048905547,0.380460008894324,0.631174252673691
ENSG0000010522112,2528.13228523013,-0.0420836937648412,0.0507871220730221,0.380516923115053,0.631199658295036
ENSG000000760034,6261.272394137,-0.0333046995965891,0.0391011255217819,0.380718969503041,0.631465776592659
ENSG000002234961,1019.94854720682,-0.0553046255266137,0.0701081922162346,0.380771551161163,0.631483959533099
ENSG000000023309,98.9727037645839,-0.066804276137257,0.148028190234032,0.380888331744963,0.631502119829637
ENSG0000010896313,350.855702576151,0.0714101909923877,0.10626405732375,0.380907361805895,0.631502119829637
ENSG0000013069912,1553.16004337545,-0.0501755756933192,0.0621999976882566,0.38083561046352,0.631502119829637
ENSG000002514171,41.9652355946997,-0.0548555585965991,0.157360445070644,0.380987122005265,0.631565344934545
ENSG000001751379,1618.57449661386,0.0496310735117144,0.0618083999490471,0.381119819968161,0.631716301985679
ENSG000001090657,829.579006553519,-0.0649733779756085,0.0894563858955668,0.381196729112716,0.631774764699862
ENSG000001286947,413.188932200555,-0.0684561168647153,0.0989107560172703,0.381275937459503,0.631837024800463
ENSG000001282036,159.104404479605,0.0738647148877037,0.130703474140205,0.381364463317753,0.631914710267585
ENSG0000011668511,1273.7535792556,0.0572127789763201,0.0720506005549986,0.381720723999553,0.632065325168926
ENSG000001240199,277.050468606641,-0.0725935744730484,0.113301381521904,0.381631050188072,0.632065325168926
ENSG000002500463,46.698246064436,0.0557675987533676,0.157127808230264,0.381655372615217,0.632065325168926
ENSG000001640735,348.349068140298,-0.0714420908468541,0.108152063356109,0.381698616388008,0.632065325168926
