"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AURKC",450.718584236188,-0.00879466662165061,0.0978800448488255,0.911271206585136,0.966911978733459
"AVEN",500.742758944434,0.0808087860214254,0.0960001836543411,0.309308702419653,0.598740808991839
"AVIL",40.194100696875,0.0258175260676914,0.155107299893289,0.690101021243538,0.868455009701256
"AVPI1",64.0996893516508,0.172229814094738,0.231351478711745,0.0781527042034007,0.260123074731319
"AXIN2",725.661857101616,-0.353989035057555,0.0947857940652568,3.28472978577837e-05,0.000476750013591305
"AXL",684.822878271558,0.537239458236456,0.0998842088336174,8.28544985681579e-09,2.46824008994203e-07
"AZGP1P2",12.8340717286307,0.0111885304155629,0.16310045505008,0.786670516841797,NA
"AZI1",1124.69052975598,0.193285957395821,0.0745542383551761,0.00402821269407624,0.0284854070117496
"AZI2",668.703849458969,0.0548504846565468,0.0876980434947504,0.463452167467523,0.725274731384381
"AZIN1",5715.45028243544,0.0260127877342268,0.0439024562310864,0.537734224235105,0.775879833308988
"AZU1",17.8172877729861,0.0427202980441463,0.16818355291536,0.376702259013101,NA
"B3GALNT1",181.539474036068,0.024708179020948,0.124324271423714,0.770598955500913,0.90940458920134
"B3GALNT2",1365.02262430297,0.0388126535253065,0.0629055800639499,0.508418661256603,0.757033286515345
"B3GALT1",390.407321825609,-0.360531067694181,0.133233726983421,0.00100676993026615,0.00922853938115874
"B3GALT2",11.6580032265365,0.016615095570299,0.163934346463205,0.68433159147926,NA
"B3GALT6",1478.1844707117,-0.0640403053139111,0.0606843653916808,0.256651473745146,0.537527576785329
"B3GALTL",411.822390249042,-0.117851909648883,0.105334774590129,0.161508683164589,0.409717628616074
"B3GAT1",2509.5276605425,-0.183549658045338,0.0527086287357697,0.000244284174442256,0.00267447770272618
"B3GAT2",23.667991512246,-0.0211967989758188,0.160992749007801,0.66709978830663,0.85643763248772
"B3GAT3",699.730116744264,0.136458902134839,0.0866921615922627,0.0685460046944113,0.240077984613359
"B3GNT1",672.339724904532,-0.00978582977709204,0.0857282092287636,0.894032057661339,0.959766016717173
"B3GNT3",23.029450631165,-0.0694155298750166,0.176849510749778,0.220672902295912,0.492878829117498
"B3GNT4",34.8983014888947,0.0220701921013055,0.161299823393998,0.649457040443656,0.846783306026404
"B3GNT5",255.543712997003,-0.0502713222724573,0.114943086863353,0.553740038615889,0.787489460165337
"B3GNT7",1837.00701990997,-0.659353547947672,0.0597538835370544,2.42231931066233e-29,3.39250538262112e-27
"B3GNT8",28.8196231214141,0.094228613947618,0.189896431157276,0.143339761197601,0.382035817638603
"B3GNT9",743.8104086881,-0.201156244572873,0.0843301058642252,0.00670612888634039,0.0427669390362476
"B3GNTL1",198.856944680608,0.0628042040380204,0.124848981468549,0.467842458106994,0.728636557437714
"B4GALNT1",545.932032462378,-0.144696138350899,0.0989342307948846,0.0766957506710875,0.257223637312261
"B4GALNT3",2736.62799663366,0.427463975801886,0.0507699515736026,5.06960276130073e-18,3.99055446553774e-16
"B4GALNT4",3570.60975965858,-0.147343856114687,0.0483014569234007,0.00139549585857328,0.0121363747433606
"B4GALT1",1040.14359756194,-0.0406610247112509,0.0733695306575224,0.536764616828812,0.775518438890931
"B4GALT4",784.09715996464,0.0328967409671572,0.0822802888576511,0.646261138074783,0.844653563200855
"B4GALT5",3949.81682851397,0.0545790436434929,0.0456956619753533,0.21062368399776,0.48040731984599
"B4GALT6",852.560289024723,-0.133551493160517,0.0787086214349578,0.055540499726564,0.208911318120428
"B4GALT7",419.81396524494,-0.0468581382437926,0.097618514333575,0.556191520951376,0.788791341654344
