,Geneid,X_filesTien_Cont1_S25sorted,X_filesTien_Cont2_S26sorted,X_filesTien_Cont3_S27sorted,X_filesTien_Zn1_S28sorted,X_filesTien_Zn2_S29sorted,X_filesTien_Zn3_S30sorted
12135,SUN5,0,0,0,1,0,0
12137,PIP5KL1,3,115,99,75,77,49
12138,BPIFB6,0,0,0,0,0,0
12139,TMEM92,19,294,502,440,442,234
12140,FAM102A,213,2462,3764,2782,2398,1658
12141,ACSF2,28,472,600,504,343,259
12143,TRUB2,107,1543,2205,1858,1725,1128
12144,COQ4,88,1431,1810,1598,1423,1077
12145,SLC27A4,57,927,1377,1132,1069,764
12146,LINC00483,0,0,4,0,0,0
12147,URM1,98,1399,2016,1674,1461,945
12151,ENDOG,19,383,506,470,443,267
12152,TBC1D21,0,3,5,0,0,0
12153,PRRX2,36,626,816,827,659,394
12158,PRR15L,0,0,3,0,0,1
12159,COQ7,120,1126,1578,1152,1039,792
12160,GPRC5B,452,6740,9594,7664,6752,4474
12161,CRK,271,3382,4867,4006,3710,2524
12162,C16orf92,0,5,2,5,7,8
12163,GOLGA6C,0,15,28,22,6,11
12164,FBXO22,177,2306,3207,3304,2918,2058
12165,TBC1D2B,139,1761,2531,1970,1916,1243
12166,NOD2,6,23,38,42,22,23
12170,HDHD2,120,1945,2718,2664,2311,1683
12171,C17orf78,3,14,12,8,6,2
12172,ZNF91,216,3221,4463,3751,3361,2337
12173,CCL23,0,0,0,0,0,0
12175,RNF214,93,1194,1806,1511,1256,935
12176,CDK12,288,3585,5342,4038,3571,2520
12177,DPEP2,0,2,4,6,6,0
12179,POP5,47,699,943,944,798,575
12182,ATP5L,4,34,71,77,45,35
12183,CD3D,2,11,14,7,14,2
12185,ENTHD2,7,209,283,267,207,181
12187,ART5,16,153,175,155,152,121
12189,STIM1,83,1323,1876,1433,1223,784
12191,OR51E2,0,0,0,0,0,0
12192,TRIM68,51,565,763,602,599,401
12193,MMP26,0,1,0,0,0,0
12194,AC104389.28,0,0,1,4,0,0
12195,OR51I1,0,0,0,0,0,0
12196,OR51Q1,0,0,0,0,2,0
12197,FN3K,61,569,878,720,658,456
12200,IRGQ,80,1068,1450,1472,1154,883
12202,ZNF229,48,457,593,539,559,343
12203,ZNF180,43,565,743,669,542,338
12204,POM121L3P,0,0,1,1,0,0
12206,ZNF668,37,423,606,491,467,299
12209,GNG8,0,0,0,0,0,0
12210,LPO,0,18,14,11,13,6
12211,CA4,9,63,84,67,55,39
12212,SMG8,49,888,1215,1043,946,740
12215,RAB8A,130,1944,2689,2190,2047,1436
12217,MIDN,760,10232,14175,12774,11131,7142
12218,JSRP1,0,6,11,12,11,8
12220,KLHL26,25,338,503,393,377,255
12222,NOS2P2,0,0,2,1,0,0
12223,MVD,206,3237,4077,3114,2567,1800
12224,CDT1,606,7625,11055,9931,8828,5854
12225,TRAPPC2L,142,1934,2680,2278,2042,1407
12227,SPATA33,40,522,703,676,678,463
12229,PROCA1,90,1260,1664,1249,1060,807
12230,RPL13,4332,60771,80447,71097,64628,42545
12231,ZNF641,11,151,252,172,180,78
12232,LALBA,0,0,0,0,0,0
12233,CACNB3,60,981,1326,1124,1054,715
12234,DHRS13,23,333,494,376,328,252
12238,RHEBL1,28,201,333,264,251,157
12239,TUBA1A,649,8525,12701,8433,8009,5465
12242,ZNF528,94,987,1294,1110,1042,694
12243,ZNF701,23,391,566,513,504,330
12244,SERTAD3,38,611,815,716,527,400
12247,AQP2,0,2,0,0,0,0
12248,GPD1,0,21,27,25,18,23
12250,CYP2S1,464,6056,8615,6501,5726,3516
12251,AXL,50,848,1218,1477,1311,892
12252,NFKBID,15,259,390,383,276,220
12253,TMC4,0,2,0,0,0,0
12254,ANKRD33,0,2,8,18,5,7
12256,TTYH1,0,2,4,2,16,8
12258,CDC42EP5,0,4,0,2,0,2
12259,LAIR2,0,0,0,0,0,0
12260,TMEM145,3,109,148,128,97,57
12261,ZNF526,76,760,1090,1008,908,560
12264,NLRP7,0,0,0,0,0,0
12265,ZNF146,578,7294,10204,8997,7872,5598
12267,PPP1R14A,7,132,157,191,183,121
12268,SPINT2,94,1190,1542,1547,1298,888
12269,C19orf33,0,11,15,6,6,4
12271,DNAAF3,2,2,10,6,0,4
12272,PSCA,0,0,0,1,2,0
12274,LY6D,0,0,0,0,0,0
12275,DAPK3,247,3111,4208,5088,4545,3129
12277,TMIGD2,0,36,42,36,36,19
12279,UBXN6,215,2627,3492,2722,2411,1621
12281,PLIN4,11,136,262,194,109,119
12286,GLOD4,141,1879,2558,2636,2125,1666
12287,MFSD3,75,1446,1817,1537,1284,839
12288,GPT,13,132,157,99,103,70
12289,KIFC2,40,1055,1185,1048,924,622
12291,RILP,17,121,169,170,139,79
12292,SERPINF2,2,12,22,26,32,13
12294,SRR,23,296,355,326,270,210
12295,TSR1,221,3509,4985,4749,4429,3059
12297,HSD11B1L,12,175,288,253,223,167
12298,CYB5D2,25,366,530,425,352,234
12299,GGT6,2,0,0,1,0,0
12300,C19orf48,209,2789,3834,3207,2727,1839
12301,KLK1,0,7,8,3,2,3
12302,KLK4,0,0,0,0,0,0
12303,KLK2,0,0,0,0,0,1
12304,KLK5,0,0,0,0,0,0
12305,KLK6,0,0,5,6,9,2
12306,KLK11,0,2,2,0,0,0
12307,KLK13,6,47,106,64,44,36
12308,AC018755.1,2,14,27,11,15,22
12310,KRT80,1,10,43,132,71,91
12311,KRT1,0,0,0,0,0,0
12312,ACER1,0,0,0,2,0,0
12313,OTUB1,191,3093,4354,3626,3275,2256
12314,RCOR2,351,4601,6222,5728,5001,3486
12315,ANGPTL4,0,51,41,71,59,51
12316,NDUFA7,0,3,3,1,3,2
12317,CD320,188,2514,3367,2883,2799,1706
12318,SPRYD3,27,374,499,504,373,318
12319,IGFBP6,8,128,172,191,149,94
12320,SOAT2,0,0,0,2,6,0
12321,ZNF558,32,253,367,313,300,197
12322,CABP2,0,1,1,0,2,0
12323,NDUFV1,481,6577,8923,7497,6693,4464
12324,CDK2AP2,85,1163,1629,1149,1111,621
12326,NUDT8,24,229,348,200,168,112
12327,TBX10,0,48,86,39,41,28
12329,PRDX2,433,5938,8165,6386,5647,3825
12330,OR8J3,0,0,0,0,0,0
12331,OR5I1,0,0,0,0,0,0
12332,ZNF232,53,796,1086,891,818,569
12334,CD300C,0,0,6,0,0,0
12335,CD300A,0,0,0,0,0,0
12336,TEKT1,0,0,0,1,0,0
12338,ICT1,74,918,1362,1103,1067,718
12339,ATP5H,191,2503,3660,2819,2607,1760
12340,TMEM88,4,91,65,116,68,47
12341,EVPL,6,15,37,33,19,19
12343,MGAT5B,74,763,965,764,658,493
12345,TK1,77,1055,1402,1241,1103,793
12347,CYP7A1,0,0,2,2,0,2
12348,RP11-25K19.1,10,213,262,179,134,102
12349,GSDMA,0,2,1,3,1,0
12350,KRT24,0,0,0,0,0,0
12351,TMEM99,3,133,230,184,166,129
12354,SOST,0,2,0,14,6,9
12355,PRR25,0,26,47,47,43,14
12356,ZNF598,173,2085,2918,2846,2529,1781
12357,RAB26,6,213,259,259,171,145
12360,DNASE1L2,7,86,111,67,86,48
12361,ECI1,304,4149,5912,5030,4681,3022
12362,AC009065.1,0,0,0,0,0,0
12364,ABCA3,131,1927,2647,2077,1935,1249
12365,KCTD5,175,2150,3081,2608,2437,1682
12367,ZNF597,22,254,383,309,286,198
12369,SDHAF2,14,224,260,222,198,122
12370,DDB1,1658,21144,31192,25553,23492,15506
12371,VPS37C,130,1665,2313,1965,1781,1270
12372,VWCE,11,172,214,548,406,323
12373,RAB3IL1,108,1445,1992,1449,1317,767
12377,POLR2G,138,1838,2723,2051,2035,1432
12379,HRASLS5,3,52,64,35,47,14
12380,C11orf84,439,6148,8434,7426,6613,4628
12381,ATG16L2,92,1382,1572,1798,1587,1176
12383,TRANK1,22,425,527,542,497,299
12385,RPSA,9220,124466,169376,145590,133395,94262
12386,ENTPD3,1,3,11,9,4,2
12388,ULK4,11,147,239,197,163,104
12389,FADD,129,1865,2588,1879,1992,1254
12392,SAC3D1,35,868,1153,1138,983,678
12393,BATF2,2,45,82,68,65,51
12396,MAP4K2,68,951,1079,1185,1037,664
12397,C11orf85,0,0,0,0,0,0
12399,SCARA3,172,2288,3463,2585,2300,1546
12400,PBK,46,743,1076,930,799,600
12402,PNOC,0,0,1,1,0,0
12403,COPS6,397,4383,6627,5195,4676,3360
12404,PAFAH1B2,615,7757,11077,9148,7872,5340
12407,KIAA1586,45,790,1234,1006,894,607
12408,RAB4A,146,1744,2292,2144,2064,1387
12409,ZNF355P,0,0,0,0,0,0
12410,OR1F1,0,1,1,6,6,4
12411,OR2W6P,0,2,2,0,2,0
12412,AC098817.5,0,0,0,0,0,0
12413,OR2B2,0,0,0,0,0,0
12414,KCNJ4,0,81,109,98,75,70
12416,VASN,26,433,625,670,593,403
12417,FAM83B,6,64,53,76,40,30
12418,HIST3H3,0,0,0,0,5,0
12419,THAP9,32,589,792,606,633,385
12420,OR2C1,0,0,1,0,0,0
12421,RNF187,1021,13688,18638,15552,13749,9352
12422,HOOK3,199,2673,3475,2603,2314,1609
12424,DDIT4,37,529,747,529,432,332
12426,LMBRD1,43,524,823,581,603,347
12428,PTGDR,0,4,9,7,8,6
12429,TTC39C,57,716,928,769,777,457
12431,HIST1H2BI,0,23,21,16,32,7
12432,GNG4,498,7189,10233,8096,7140,4735
12433,UBTD2,177,2481,3292,2773,2546,1792
12437,C14orf183,0,0,0,3,2,2
12438,KCNV2,0,21,33,38,12,19
12439,IRF2BP2,317,4505,6343,6134,5385,3700
12440,PTF1A,0,2,0,0,2,0
12441,NT5DC2,1704,22756,32471,27535,24626,16155
12442,FOXI1,0,0,0,0,0,0
12443,SMIM4,84,990,1224,1119,1005,735
12444,HIST1H2AE,1,35,47,58,62,45
12447,MGAT2,6,71,75,74,47,46
12448,BMI1,29,406,520,441,400,257
12449,THAP11,96,1294,1830,1437,1413,924
12450,MMADHC,222,3147,4268,3528,3204,2073
12451,PDHB,504,6662,9270,8059,7516,5247
12453,HIST1H1E,2,81,107,160,136,61
12454,PCMTD1,115,1505,2039,1428,1299,945
12455,KCTD6,71,919,1261,1140,1097,788
12456,MPLKIP,139,1947,2845,2420,2153,1545
12457,ACOX2,16,252,302,348,323,200
12459,IRF2,35,480,607,542,471,307
12461,CX3CR1,1,11,46,20,10,8
12462,C8orf22,0,0,0,0,0,0
12463,XIRP1,0,1,4,19,12,10
12464,INSM2,0,0,0,0,0,0
12465,DEGS2,0,2,5,1,5,2
12466,SCN11A,4,60,65,59,37,21
12467,LINC00917,0,0,1,0,0,0
12468,ARF4,572,7653,11402,9263,8205,5786
12472,DTYMK,178,2810,3930,3119,2658,1910
12473,TAP1,0,0,0,0,0,0
12476,BDKRB2,2,36,81,58,37,27
12477,MLKL,15,148,157,218,167,86
12479,RFWD3,697,8422,12171,9935,8909,5889
12480,MTNR1A,0,10,14,12,4,10
12481,KCNG4,0,0,0,4,0,0
12482,RHOH,0,33,37,20,29,5
12483,KLHL30,6,39,66,66,73,33
12484,COG7,80,1113,1546,1389,1125,761
12487,SCNN1B,1,6,9,16,1,0
12490,RAB31,230,2790,3895,3997,3689,2495
12491,REEP4,163,2352,3158,2734,2596,1691
12493,LGI3,0,0,2,2,0,0
12494,SFTPC,0,0,0,0,1,1
12497,PHYHIP,4,60,58,101,66,52
12498,CCDC110,0,10,14,12,0,9
12499,POLR3D,215,3406,4877,4593,4161,2791
12500,FEN1,418,5226,7730,6368,5934,3923
12501,SDPR,0,0,11,11,1,4
12503,GBX2,67,641,929,804,680,426
12505,SCGB1D1,0,0,0,0,0,0
12506,HEXIM2,6,109,126,83,79,54
12507,FNTA,193,2637,3657,2988,2518,1807
12508,SERINC2,6,4,12,8,4,2
12511,CHRM1,0,13,7,7,11,1
12512,COL3A1,0,0,12,16,17,10
12513,GFRA2,12,200,286,234,166,117
12514,ING2,82,738,1063,1008,804,674
12515,CDKN2AIP,34,901,1296,1002,1007,610
12517,TMEM223,44,1008,1451,1145,1102,740
12518,SLC20A2,161,1849,2538,1976,1768,1165
12519,CRYGA,0,0,0,0,0,0
12524,ZSWIM1,62,862,1178,995,910,568
12526,ADAM9,162,2084,2905,2674,2354,1673
12529,SPINT5P,0,0,0,0,0,0
12530,DPCR1,0,0,0,0,0,0
12531,WFDC13,0,1,0,2,0,0
12532,AXIN2,80,1248,1818,1165,1003,667
12533,NDUFS5,477,6748,10049,10231,9576,6694
12536,UGT3A2,19,299,457,470,446,316
12537,FAM84B,160,1942,2583,2947,2882,1751
12539,KCTD19,5,224,269,198,221,149
12544,WFDC12,0,0,0,0,0,0
12547,PKIG,124,1830,2389,2105,1986,1268
12548,NPNT,2,27,39,29,20,14
12549,C20orf62,0,0,0,0,2,0
12550,CA7,0,6,9,13,7,12
12551,FAM178B,5,55,46,40,42,27
12552,TSPY2,0,0,0,0,0,0
12553,SEMA4C,532,7498,10170,8232,7349,4472
12556,TET2,49,673,879,693,636,452
12557,CXXC4,26,478,685,471,428,268
12558,TCTN2,30,366,527,407,360,242
12561,TSPAN5,58,1000,1274,776,800,494
12562,OR12D2,0,0,0,0,0,0
12563,ABHD15,12,91,201,179,147,98
12564,ZBTB5,88,1200,1679,1537,1447,929
12565,CHTF8,122,1586,2102,1719,1543,1104
12567,LCMT2,40,377,452,341,353,237
12569,IL12A,2,11,20,34,23,8
12571,STX18,157,2179,3082,2575,2121,1467
12575,OR13J1,0,2,6,6,0,0
12576,HTR1E,0,1,0,0,1,0
12577,FSTL5,0,2,2,2,0,0
12578,TPTE2P5,1,6,9,8,5,2
12580,ATOH8,0,53,79,56,69,35
12581,SOX14,0,0,7,0,0,0
12582,ANKRD49,44,597,939,701,694,448
12586,C2orf68,130,1666,2496,2072,1784,1285
12587,TMEM150A,38,467,710,673,541,384
12588,RNF181,78,867,1207,917,863,630
12589,VAMP5,1,19,17,16,11,20
12590,BTNL3,0,0,2,0,0,0
12592,MAT2A,633,8587,12169,11424,10204,7696
12593,PLA2G4F,0,0,0,0,2,0
12594,ENHO,31,372,505,445,373,290
12596,SLC35G2,5,102,135,133,156,103
12597,INPP5D,55,643,932,1929,1812,1183
12599,CTRB1,0,2,5,6,5,4
12600,CTRB2,0,0,7,1,0,0
12601,TRIM49,0,0,0,0,0,0
12602,TMEM129,249,3127,4181,3279,2958,2010
12603,PPIC,63,689,976,829,684,469
12604,SPRY3,0,5,0,10,6,2
12607,TM4SF20,0,6,3,2,0,2
12613,OR7E102P,0,0,0,0,0,0
12615,PXDC1,9,222,367,331,300,168
12616,SIGLEC7,0,0,0,0,0,0
12617,NTSR2,0,1,6,11,17,7
12619,FEM1B,418,6105,8425,6203,5501,3899
12620,COMMD8,4,194,294,279,238,120
12621,ATP5I,49,584,836,829,666,477
12622,UQCRFS1,311,3774,5096,4341,4024,2720
12623,MFSD7,1,10,21,13,11,15
12625,MAP2K1,285,3123,4570,3658,3479,2429
12626,KLK7,3,7,3,3,2,4
12629,IRS1,166,2498,3253,2749,2528,1571
12631,VCX3A,4,20,15,18,26,21
12633,ZBBX,2,34,26,49,21,18
12634,ACTBL2,0,2,0,0,0,0
12636,BRD7P3,0,1,2,2,2,1
12638,DHRSX,0,0,16,12,1,0
12639,C8orf46,0,13,10,5,12,6
12640,HSPBAP1,20,375,516,528,492,328
12642,SLC25A6,2,43,46,27,38,51
12643,CHST14,51,867,1264,1239,1097,748
12644,PARM1,23,236,340,319,277,146
12646,FAM110B,17,237,288,249,272,143
12649,ZNF354A,61,823,1146,1080,890,632
12650,ATF5,59,965,1431,950,822,645
12651,UBE2V2,321,4522,6153,5391,4582,3401
12652,GOT1L1,0,0,1,2,0,0
12653,ZBTB43,105,1291,1861,1553,1417,979
12654,RP11-167P23.2,0,0,0,0,0,0
12656,PCSK9,176,2861,3864,2032,1750,1148
12657,XPO6,520,6890,9983,8888,7906,5025
12658,GSG1L,2,6,8,16,14,4
12659,MN1,157,2097,3003,2209,1893,1260
12660,APEX2,134,1880,2661,2198,2241,1443
12662,CCDC126,18,149,215,236,204,120
12663,IL13,0,0,2,0,4,0
12664,OR10G1P,0,0,0,0,0,0
12666,OR10G3,0,0,0,0,0,0
12667,RAB3B,688,8745,12971,11020,9868,6791
12668,OR6F1,0,0,0,0,0,0
12669,CD2BP2,273,4253,6201,5328,4867,3183
12670,RSPO1,0,26,30,24,21,9
12672,TBC1D10B,181,2075,3204,2619,2188,1454
12674,GCSAML,0,2,0,1,0,0
12675,RAB24,17,272,394,360,276,199
12676,PRELID1,238,2576,3861,3159,2738,1907
12677,THBS3,30,494,555,649,484,401
12678,CA5B,29,282,382,376,295,216
12680,EFNA1,6,45,100,72,69,41
12681,CXCL10,0,2,0,0,0,0
12683,SH3TC2,2,34,46,104,124,43
12684,CXCL11,0,0,1,0,0,0
12685,ZRSR2,103,1468,2080,1743,1610,1076
12686,NMD3,177,2737,3621,3107,3003,1855
12687,ADRB2,0,33,38,65,46,44
12688,RP11-220D10.1,9,139,170,120,141,65
12689,B3GALNT1,20,265,370,359,312,162
12690,GPRIN1,49,627,1009,778,682,453
12691,HSPB3,0,0,0,5,1,5
12694,SHE,30,278,399,374,346,207
12695,NR0B1,0,4,26,22,25,36
12696,PGM2,122,1316,1850,1622,1507,1023
12698,IL1RAPL1,2,16,34,10,5,0
12699,P2RY12,0,0,2,0,2,1
12701,GUSBP12,0,0,0,0,0,0
12702,OR5AU1,0,1,0,0,0,0
12703,KIAA1024,10,108,170,153,110,114
12704,PDILT,0,5,6,0,0,5
12707,SLC33A1,110,1341,1947,1488,1395,886
12708,SNUPN,52,583,873,750,765,507
12709,CRADD,27,284,394,288,305,190
12712,RNASE2,0,0,2,0,0,0
12713,ELSPBP1,0,0,0,0,0,0
12714,RNASE3,0,0,0,0,4,0
12717,PTAFR,4,76,91,116,107,57
12718,PTPN9,252,3681,5157,4193,3914,2557
12719,RNASE6,0,0,2,0,1,2
12720,NPR1,25,601,788,568,474,326
12721,KCNK9,0,2,3,0,0,1
12722,IL8,0,0,0,0,0,0
12724,RASSF6,0,3,3,5,8,4
12726,SDC2,161,2146,3218,3219,3106,1775
12727,CD52,10,184,209,169,131,93
12728,MMGT1,2,17,15,17,9,78
12729,SPRR1B,0,0,0,0,0,0
12730,SPRR1A,0,0,0,0,0,0
12731,OR4K14,0,0,0,0,0,0
12732,OR4K15,0,0,0,0,0,0
12734,HTRA4,0,24,46,44,43,19
12737,SLC38A11,0,0,0,0,0,0
12738,GPR183,0,4,6,4,4,6
12739,CRCT1,0,0,0,0,1,0
12740,CCDC8,186,2385,3417,2658,2183,1485
12742,ZNF280A,0,0,1,0,0,0
12743,MUC15,0,0,0,0,0,0
12744,CT55,0,0,0,0,0,0
12746,GJB1,0,0,0,0,4,1
12747,PCBP1,523,6859,9964,7841,7116,4660
12748,HINT1,462,6657,9359,7760,6788,4583
12749,DTWD2,46,935,1322,892,793,541
12750,VPREB1,0,0,0,0,0,0
12753,BNC1,2,31,40,65,48,63
12755,NFU1,147,1483,2167,1998,1840,1332
12757,GKN1,0,0,0,0,0,0
12758,CKAP2L,231,2763,4021,3326,2814,1949
12759,C15orf40,57,735,984,726,634,484
12760,FAM103A1,41,512,807,667,553,394
12761,PROKR1,8,111,161,114,92,62
12762,APLF,14,282,342,337,350,182
12763,BOLA2B,1,18,234,22,20,16
12764,RGPD8,17,213,439,328,245,210
12765,HIC2,240,3321,4669,3818,3546,2411
12766,LUZP1,231,2774,3961,3483,3215,2224
12768,BCRP6,0,0,1,1,0,0
12769,BCRP2,0,2,2,11,2,8
12770,DRD5,2,1,0,4,0,0
12773,LRRC45,73,1066,1385,1235,1078,729
12774,CHRNA5,25,248,404,342,261,157
12777,AGPAT2,127,2006,2679,2117,1804,1167
12779,GP9,0,0,0,0,0,0
12780,FASN,3050,39986,58417,45098,39143,25369
12783,ACTRT2,0,1,2,4,0,0
12785,GPS1,212,2990,4157,3482,3255,2042
12786,RFNG,28,385,644,574,543,342
12787,DCXR,74,759,1080,920,855,598
12788,ZNF32,33,355,513,450,344,242
12789,LDB2,267,3523,5092,2599,2154,1413
12790,RAC3,138,1599,2137,2199,2071,1294
12793,C15orf27,43,701,924,510,404,269
12798,TAS2R1,0,0,0,0,0,0
12799,LINGO1,471,6734,10041,7204,6103,4168
12800,PRY,0,0,0,0,0,0
12801,RBMY1F,0,0,0,0,0,0
12802,PRY2,0,0,0,0,0,0
12803,RBMY1HP,0,0,0,0,0,0
12805,BTD,30,350,525,370,399,244
12806,CSGALNACT2,43,569,821,678,608,392
12807,TACR3,0,15,30,24,22,13
12808,GSX1,0,0,0,0,0,0
12809,TSPY14P,0,0,0,0,0,0
12812,ONECUT1,21,274,382,272,222,154
12813,AVEN,50,763,975,984,820,529
12814,P2RY1,31,572,805,478,436,268
12815,IGHV1OR21-1,0,0,0,0,0,0
12817,TRIM56,224,3076,4073,3861,3337,2278
12818,MUC17,0,8,14,9,10,2
12819,AHSP,0,11,15,10,6,9
12820,WNT10B,6,24,33,67,64,40
12821,CALML6,7,78,107,150,103,63
12824,SYAP1,293,4176,5774,5076,4546,3083
12826,PYDC1,0,0,18,8,13,7
12827,TPST1,81,864,1300,983,981,627
12828,TM4SF4,0,0,0,0,1,0
12829,TOR1AIP2,321,3877,5699,4946,4531,3204
12830,S100G,1,10,13,7,9,2
12831,TM4SF1,0,0,2,4,2,4
12832,OTUD3,109,1545,2167,1812,1618,1269
12833,OTUD7A,18,166,302,166,156,105
12836,KLF13,196,2645,3853,2658,2514,1605
12837,FRMPD4,5,85,110,54,42,21
12838,ZFPM2,0,20,17,8,5,9
12839,ZNF764,38,418,576,540,383,310
12841,ZNF747,16,400,512,402,372,239
12842,ZNF768,250,3517,4957,4534,3969,2860
12843,TAS1R3,3,33,26,32,31,28
12844,TMEM42,48,804,999,813,700,535
12846,PUSL1,39,526,670,651,583,363
12847,SF3B5,99,1324,1890,1492,1500,1036
12848,ZNF35,47,844,994,1065,844,608
12849,TIGD4,2,70,110,78,67,36
12850,IFFO2,40,497,696,802,696,439
12851,NLGN2,296,3535,4673,4312,3574,2437
12854,TMEM154,15,194,260,280,271,207
12855,MYRIP,11,260,430,281,198,175
12856,ALCAM,49,731,1167,923,860,550
12857,YWHAG,1094,14032,20076,15785,14517,9648
12859,CNTROB,106,1295,1778,1474,1365,926
12860,TRAPPC1,86,1251,1529,1356,1258,806
12861,ZPLD1,0,0,0,0,1,0
12862,KCNAB3,7,113,154,106,112,62
12865,GPR37L1,6,23,34,44,42,30
12867,TMEM192,76,1148,1638,1368,1312,862
12869,NSG2,0,8,0,4,4,0
12871,SERPINA6,0,0,0,0,0,0
12872,ZNF778,18,384,524,473,442,266
12874,FOXD4,0,6,11,9,3,7
12875,GPR25,0,0,0,6,0,0
12876,UBE2E1,369,4765,6339,5681,4806,3415
12878,SIK2,217,2416,3606,2615,2446,1576
12879,RP11-374M1.7,0,0,0,0,0,0
12880,RNF150,18,269,376,333,326,208
12882,RP11-262H14.4,1,25,28,33,17,17
12883,VGLL2,0,0,0,2,0,1
12884,CR848007.2,0,0,0,0,0,0
12885,HOXD4,0,5,2,2,0,0
12886,CHRNB1,16,256,254,243,222,141
12887,HOXD12,0,30,53,11,15,24
12889,USP38,59,983,1413,1113,955,619
12891,NANP,34,392,593,651,484,389
12892,ANKK1,0,2,14,12,2,5
12893,ADRA1B,0,16,3,20,10,8
12894,FAM27B,0,0,0,0,0,0
12895,RP11-12A20.2,0,0,0,0,0,0
12898,PWWP2A,98,1791,2431,2157,1642,1213
12901,PDCD6IP,578,6941,10367,8190,7533,5095
12902,MRGPRX1,0,0,0,0,0,0
12903,ZNF212,62,1052,1290,1089,950,658
12904,MRAP,1,8,0,6,3,4
12905,FAM161A,87,1539,2206,2067,1690,1243
12906,ZNF282,196,2838,3877,3551,3043,1949
12908,C14orf142,27,285,468,352,359,228
12909,FAXDC2,43,530,670,639,620,398
12911,HSPB2,0,0,0,0,0,0
12912,C7orf33,0,0,0,1,0,0
12913,CNGB3,0,0,2,1,0,0
12914,SLN,0,0,0,1,0,0
12916,CMTM8,11,134,186,211,194,125
12917,GABARAP,24,311,503,381,375,256
12921,UBB,366,4591,6402,5108,4434,2960
12923,FABP4,0,0,0,0,0,0
12927,FOS,50,529,743,697,656,472
12928,TMED10,392,5881,8008,6638,5962,4257
12929,OR2A20P,1,24,30,30,40,23
12930,SETMAR,45,610,829,768,707,422
12931,SMAD1,57,638,908,725,566,407
12932,CST5,0,0,1,0,0,0
12933,CST2,0,2,6,4,0,0
12935,CST1,0,14,19,14,13,12
12936,SP7,0,2,5,7,1,2
12938,SEMA3E,5,67,107,92,96,54
12939,LRRN2,94,999,1361,1163,1171,735
12940,SLC30A1,291,3642,5164,4234,3728,2453
12942,ZNF804A,0,2,0,3,2,2
12943,CTA-313A17.2,0,0,0,0,0,0
12946,VSTM2A,13,183,264,195,167,135
12947,KRT8,1930,26656,38506,37169,33618,21804
12948,KRT78,0,0,0,0,0,0
12949,ADORA2B,1,83,136,168,144,81
12950,SDR9C7,0,2,3,3,5,4
12951,MGMT,9,130,169,177,164,82
12952,METTL7B,5,64,103,106,87,50
12953,KRT86,0,3,14,15,10,10
12954,HARS,95,1259,1963,1740,1584,1114
12955,NFXL1,94,933,1260,1168,881,662
12956,KRT75,0,0,4,0,0,0
12958,CD14,1,15,12,6,6,3
12959,DNAJC18,73,844,1091,810,728,506
12960,KRT6C,0,0,0,0,0,1
12961,AC005280.1,0,0,0,0,0,0
12962,SPATA24,16,155,227,137,134,87
12966,KRT4,0,0,0,0,0,0
12968,KRT74,0,0,0,0,0,0
12970,KRT72,0,0,0,0,0,0
12971,KISS1,0,1,8,10,11,7
12972,LONRF2,4,67,136,164,201,111
12973,NUDT9,84,917,1423,1191,1145,745
12974,HSD17B13,0,41,39,31,30,24
12975,PA2G4,349,4545,6771,6755,5816,3962
12977,ELOVL6,219,2626,3597,2728,2442,1686
12978,KRT83,0,0,4,5,4,3
12980,TMC7,27,480,647,658,530,363
12982,SERPINB9,255,3544,5504,7765,6850,4401
12984,IRX1,3,38,73,29,31,11
12985,CDH2,82,1112,1616,1408,1371,853
12986,IRX2,150,2407,3118,2558,2267,1512
12987,EMB,182,2418,3607,2815,2325,1516
12988,SIX2,2,37,41,40,45,23
12990,STAT2,148,1648,2119,1780,1567,1109
12991,NUDCD2,112,2052,3008,2536,2377,1710
12992,LINC00266-3,0,0,0,0,0,0
12993,IRF2BP1,81,1344,2145,1811,1611,1051
12994,OR9K2,0,2,0,0,0,0
12995,HSPA4,994,13820,19962,16909,14921,10206
12996,FOXA3,35,401,607,456,467,293
12997,FAM71B,0,1,4,0,0,0
12999,SCRT1,0,0,0,2,0,0
13000,COMMD5,24,349,505,393,352,253
13001,SGCD,0,6,8,3,2,0
13002,GTSF1,0,1,2,3,0,3
13005,ARMC10,128,1736,2512,2177,2018,1355
13007,ACYP2,23,352,482,392,418,270
13008,TRABD,196,2453,3330,3002,2691,1929
13009,TMEM133,22,315,439,327,248,145
13012,SOCS6,97,1222,1820,1391,1140,807
13013,MURC,52,621,817,735,579,517
13014,OR10A3,0,0,5,2,0,3
13015,ZNF296,21,456,653,558,457,301
13016,OR5E1P,0,6,7,8,6,6
13017,HOXB9,0,5,8,6,4,0
13019,BOP1,26,256,430,635,416,238
13020,POLH,25,370,482,831,782,581
13022,KCNS3,21,302,435,360,320,196
13023,RBMXL2,0,0,0,4,2,0
13025,GPR37,21,193,278,195,177,127
13027,TPD52L3,0,0,0,0,0,0
13029,OR10A4,0,1,1,2,0,4
13030,SDR16C5,0,5,10,8,1,5
13031,DYDC1,0,0,2,4,3,1
13032,OR10A2,0,2,2,4,0,0
13034,HTRA3,65,689,911,806,768,496
13036,OR2AG1,0,0,0,0,0,0
