,Geneid,X_filesTien_Cont1_S25sorted,X_filesTien_Cont2_S26sorted,X_filesTien_Cont3_S27sorted,X_filesTien_Zn1_S28sorted,X_filesTien_Zn2_S29sorted,X_filesTien_Zn3_S30sorted
51066,CTC-297N7.10,0,2,2,6,1,2
51067,MIR3973,0,0,0,0,0,0
51068,MIR3119-1,0,0,0,0,0,0
51069,AL512428.1,0,0,0,1,1,4
51070,AC084262.2,0,0,0,0,0,0
51071,RP11-53I6.4,0,2,7,1,3,2
51072,RP11-160E2.19,0,0,1,0,0,0
51073,AC093844.1,0,0,0,0,0,0
51074,RP11-288C17.3,0,2,13,10,8,6
51075,MIR5196,0,0,1,0,0,0
51076,MIR3170,0,0,0,0,0,0
51077,CTC-297N7.5,18,196,259,179,185,82
51078,AC008674.1,0,0,0,0,0,0
51079,MIR4673,0,1,2,0,0,3
51080,AL158154.1,0,0,0,0,0,0
51081,PA2G4P3,0,0,0,0,0,0
51082,RN7SL821P,0,0,0,0,2,0
51083,MIR4660,1,0,0,2,0,0
51084,MIR4747,0,0,0,0,2,0
51085,RN7SL460P,0,0,0,0,0,0
51086,RP5-890E16.2,2,53,108,102,68,55
51087,AL928742.1,0,0,0,0,0,0
51088,MIR3187,0,0,0,0,0,0
51089,AC021760.1,0,0,0,0,0,0
51090,AC006145.1,0,0,0,0,0,0
51091,GTSCR1,0,0,0,2,0,0
51092,MIR4687,0,0,0,0,0,0
51093,AC005702.1,1,14,19,21,20,5
51094,CTD-2541J13.2,0,0,0,0,0,0
51095,AC131011.1,0,0,0,0,1,0
51096,RN7SL471P,0,2,0,0,0,0
51097,RP11-599B13.3,0,0,0,0,0,0
51098,LINC00675,0,2,2,8,0,4
51099,RN7SL689P,2,32,39,22,14,15
51100,RP11-260A9.1,0,0,0,0,0,0
51101,RP11-17M24.2,0,0,0,0,0,0
51102,MIR3158-2,0,1,0,0,0,1
51103,AC020892.1,0,0,0,0,0,0
51104,RP11-202D1.3,0,0,0,0,0,0
51105,MIR4753,0,1,0,1,0,2
51106,AC012181.1,0,0,0,0,0,0
51107,RP11-973F15.2,0,0,0,0,0,0
51108,MIR4450,0,0,3,7,3,1
51109,AC079117.3,0,0,1,0,0,0
51110,AL133410.1,0,0,0,0,0,0
51111,AC021887.1,0,0,0,0,0,0
51112,RP11-680N20.1,0,0,0,0,0,0
51113,AL121899.1,0,1,0,0,0,0
51114,MIR4532,0,0,0,0,0,0
51115,MIR5189,0,0,0,0,0,0
51116,AC079804.2,0,0,0,0,0,0
51117,MIR4455,0,0,0,0,0,0
51118,AL359552.1,0,0,0,0,0,0
51119,RP11-838N2.8,0,0,0,0,0,0
51120,MIR4750,0,0,0,0,0,0
51121,MIR378I,0,3,2,8,2,4
51122,RP1-56K13.2,0,4,4,3,2,11
51123,MIR3130-1,0,2,0,0,2,0
51124,RP11-160O5.1,6,100,139,116,135,106
51125,RN7SL576P,0,0,0,0,0,0
51126,MIR548O2,0,0,1,0,0,0
51127,AL353805.1,0,2,1,4,4,2
51128,MIR3156-1,0,0,0,0,0,0
51129,RP11-338L22.2,0,2,2,2,0,8
51130,RN7SL439P,0,5,3,3,4,2
51131,RN7SL509P,0,0,0,0,0,0
51132,AL603766.1,0,0,0,0,0,0
51133,MTATP6P3,0,0,0,0,0,0
51134,CTC-304I17.4,0,0,0,0,1,2
51135,RN7SL301P,0,1,2,0,0,0
51136,CTC-264K15.6,0,0,0,0,0,0
51137,RN7SL155P,0,0,0,0,0,0
51138,RN7SL94P,0,2,9,4,0,2
51139,AC004702.2,0,2,2,0,1,0
51140,AL109844.1,0,0,0,0,0,0
51141,RP11-118E18.4,0,9,1,2,2,8
51142,RP11-269G24.2,0,0,0,0,0,1
51143,AC134878.2,0,0,0,0,2,0
51144,RP11-707O23.5,1,3,1,2,2,0
51145,AC092104.1,0,0,0,0,0,0
51146,RP11-78F17.3,0,5,0,2,4,0
51147,MIR5193,0,0,0,0,0,0
51148,AL603650.1,0,0,0,0,0,0
51149,RP11-963H4.3,0,15,27,14,9,5
51150,AC078988.1,0,0,0,0,0,0
51151,MIR4497,0,0,0,0,0,0
51152,MIR5699,0,1,0,0,0,0
51153,MIR4311,0,0,0,0,0,0
51154,MIR3668,0,0,0,0,0,0
51155,MIR548AN,0,4,0,0,1,0
51156,AL009050.1,0,0,0,2,0,0
51157,AL157871.1,0,0,0,0,0,0
51158,CTD-2535L24.3,0,0,0,0,0,0
51159,Z97054.1,0,0,0,0,0,0
51160,AC016697.3,0,2,0,0,0,0
51161,AC022909.1,0,0,0,0,0,0
51162,MIR378G,0,1,0,0,0,0
51163,MIR4526,0,0,0,0,0,0
51164,RN7SL122P,0,0,0,0,0,0
51165,AC006994.3,0,0,1,0,0,0
51166,RP13-753N3.1,0,5,10,5,5,4
51167,MIR4463,0,0,0,0,0,0
51168,AK4P1,14,170,231,153,125,67
51169,RN7SL387P,0,0,0,0,0,0
51170,AC097103.1,0,0,0,0,0,0
51171,AC024475.1,0,0,0,1,0,0
51172,MIR5582,0,0,3,0,0,3
51173,AL157407.1,0,0,0,0,0,0
51174,AC005195.1,0,0,0,0,0,0
51175,AP002517.1,0,0,0,0,0,0
51176,RP11-1O2.1,0,2,0,0,4,0
51177,MIR5187,0,0,1,0,0,0
51178,RP11-78F17.1,7,75,115,81,57,52
51179,RP11-449D8.2,0,0,0,0,0,0
51180,MIR4788,0,0,0,0,0,0
51181,RN7SL533P,0,0,1,1,0,0
51182,RN7SL383P,0,0,0,0,0,0
51183,AC073320.1,0,0,0,0,0,0
51184,RN7SL716P,0,0,0,0,0,0
51185,MIR4704,0,0,0,0,0,0
51186,UBBP4,3,10,19,23,12,14
51187,MIR4738,0,0,0,0,0,0
51188,AC096753.1,0,0,0,0,0,0
51189,RP11-805L22.3,0,0,0,0,0,0
51190,MIR3916,0,0,0,0,0,0
51191,RN7SL212P,0,0,0,0,0,0
51192,AC074264.1,0,0,0,0,0,0
51193,CTC-304I17.5,2,6,7,5,4,5
51194,MIR5683,0,0,0,0,0,0
51195,MIR4270,0,0,0,0,0,0
51196,CTD-2532D12.4,2,0,1,0,0,0
51197,MIR4665,0,0,1,1,0,2
51198,AL121748.1,0,1,2,4,3,2
51199,AL160291.1,0,0,0,1,0,0
51200,AL359546.1,0,0,0,0,0,0
51201,MIR548X2,0,0,0,0,0,0
51202,RN7SL768P,0,0,0,0,0,0
51203,MIR4522,0,0,1,0,0,2
51204,MIR4480,0,0,0,0,0,1
51205,RP11-498C9.13,0,0,0,0,0,0
51206,RP11-309N17.4,0,0,0,0,0,0
51207,RN7SL296P,0,0,0,0,0,0
51208,RP11-595B24.2,0,0,0,0,0,0
51209,RN7SL136P,0,0,1,0,1,0
51210,AL035457.1,0,0,0,0,0,0
51211,MIR4804,0,0,0,0,0,0
51212,RP11-28O3.2,0,0,0,0,0,0
51213,RN7SL823P,0,0,2,4,1,0
51214,AC013477.1,0,2,0,1,1,1
51215,MIR3936,0,0,6,0,0,3
51216,RN7SL171P,0,0,0,0,0,0
51217,MIR3915,0,0,0,0,0,0
51218,MIR3185,0,0,0,0,0,0
51219,CTD-2349P21.5,12,129,123,172,129,132
51220,RP11-19P22.3,0,0,0,0,0,0
51221,RP11-737O24.3,1,46,68,56,48,33
51222,RN7SL80P,3,2,5,4,6,8
51223,RN7SL353P,0,0,0,0,0,0
51224,RP11-1109M24.16,0,0,4,0,0,0
51225,RP11-612A1.1,0,0,0,0,0,0
51226,AF186192.6,0,16,14,13,19,11
51227,RP11-321A17.5,0,0,0,0,0,0
51228,CR786580.1,0,0,0,0,0,0
51229,MIR4306,0,2,0,0,1,0
51230,RN7SL178P,0,0,0,0,0,0
51231,RP11-527H14.4,0,0,0,0,0,0
51232,RP11-599B13.6,0,0,0,0,0,0
51233,RN7SL650P,0,3,5,7,6,3
51234,RP11-389J22.3,0,0,0,0,0,0
51235,AC005701.1,0,0,0,0,0,0
51236,RP11-45M22.3,1,16,13,14,12,7
51237,AL392111.1,0,0,0,0,0,0
51238,RP11-692N5.1,0,4,1,0,0,0
51239,MIR3155A,0,4,2,4,1,3
51240,MIR5586,0,0,0,0,0,0
51241,AP005271.1,0,0,0,0,0,0
51242,MIR378D1,0,0,0,0,0,0
51243,AC126177.1,0,0,0,0,0,0
51244,RN7SL374P,0,0,0,0,0,0
51245,MIR3919,0,0,0,0,0,0
51246,RP11-805F19.2,0,0,0,0,0,0
51247,AC138304.1,0,0,1,2,0,0
51248,RP11-106E15.1,0,0,0,0,0,1
51249,AF235103.1,0,0,0,0,0,0
51250,MIR4777,0,5,2,1,3,1
51251,MIR4802,0,2,0,0,0,0
