Geneid	_filesTien_Cont1_S25sorted	_filesTien_Cont2_S26sorted	_filesTien_Cont3_S27sorted	_filesTien_Zn1_S28sorted	_filesTien_Zn2_S29sorted	_filesTien_Zn3_S30sorted
ENSG000002683321	0	0	0	0	0	0
ENSG0000011625413	0	13	25	40	30	19
ENSG000001162515	678	9389	13303	11758	10411	7495
ENSG000002269441	0	1	2	0	1	1
ENSG000001582868	2	81	96	65	48	24
ENSG0000011623711	363	5225	7230	5421	4803	3356
ENSG000002250772	14	147	261	135	110	82
ENSG000001736737	34	423	585	261	232	132
ENSG000001582926	31	421	529	479	451	324
ENSG0000009702115	111	1429	2035	1785	1703	1192
ENSG000002717461	0	0	0	0	0	0
ENSG000000698127	0	5	11	33	27	29
ENSG0000018701710	1	57	81	48	60	43
ENSG000002653921	0	0	0	0	0	0
ENSG000002318681	0	2	0	1	2	0
ENSG000002157885	26	489	554	893	670	585
ENSG0000017168016	98	1281	1523	1716	1571	1040
ENSG0000016240810	89	1077	1579	1591	1232	891
ENSG000002530221	2	1	0	7	4	3
ENSG000002295192	0	6	21	4	15	14
ENSG0000017366215	0	2	1	0	0	0
ENSG000002048597	54	734	862	721	744	405
ENSG0000016241312	84	1397	1801	1781	1584	1038
ENSG000001162735	143	1584	2494	1950	1799	1242
ENSG0000004198811	36	455	663	604	479	378
ENSG0000000792311	256	3362	4929	3930	3715	2431
ENSG000002287501	0	0	0	0	1	1
ENSG000002391661	0	0	0	0	0	0
ENSG000002374361	0	11	13	8	22	16
ENSG0000017173514	176	2276	3048	2588	2455	1667
ENSG000002279501	0	0	3	0	0	0
ENSG000002373651	0	0	0	0	2	0
ENSG000002070561	0	0	0	0	0	0
ENSG000002374021	0	0	0	0	2	0
ENSG000002377281	0	0	0	0	0	0
ENSG000002251261	0	0	0	0	0	0
ENSG000002701711	4	12	10	26	14	12
ENSG000002700351	0	9	25	12	23	4
ENSG000002699781	1	14	14	18	13	12
ENSG000000492458	78	1323	1863	1584	1613	1039
ENSG000002699251	0	19	15	20	10	15
ENSG0000004924610	57	856	1165	1032	903	590
ENSG000002362661	0	6	9	15	10	3
ENSG000000492479	0	0	1	7	4	7
ENSG000000492494	0	0	0	2	0	0
ENSG000002703301	0	0	0	0	0	0
ENSG000001162888	330	4698	6620	5827	5530	3726
ENSG000002003441	0	1	2	2	1	0
ENSG000001162858	196	2929	4273	4062	3683	2616
ENSG000002382901	1	14	38	31	17	21
ENSG000002328481	0	0	0	0	2	0
ENSG000002293051	0	0	1	0	0	0
ENSG000002009751	0	0	0	0	0	0
ENSG000002276341	0	0	0	0	0	0
ENSG000002336451	0	0	0	0	0	0
ENSG000002654141	0	0	0	0	0	0
ENSG000002519771	0	0	0	0	0	0
ENSG0000016242610	3	144	160	118	113	94
ENSG000002522541	0	0	0	0	0	0
ENSG0000014259913	442	5888	8358	6642	5619	3902
ENSG000002329121	0	1	5	4	2	2
ENSG000002210831	0	5	0	8	0	4
ENSG000002702821	0	5	2	6	1	0
ENSG000002346191	0	2	2	3	3	2
ENSG000002243152	0	3	2	5	0	0
ENSG000002225111	0	2	0	0	1	0
ENSG000002265451	0	5	2	6	5	5
ENSG000002284232	0	4	4	8	1	2
ENSG000002297162	0	0	0	0	0	0
ENSG000000748009	3639	49409	69150	58669	53259	35114
ENSG000002362691	1	15	15	21	21	3
ENSG000002306791	1	8	5	4	1	4
ENSG000002017251	0	3	1	3	0	0
ENSG000002382491	0	1	0	1	2	0
ENSG000002322082	0	0	0	0	0	0
ENSG000002326632	0	0	0	0	0	0
ENSG0000013168610	0	0	0	1	0	2
ENSG000002651411	0	0	0	0	0	0
ENSG000001972413	0	0	9	3	3	2
ENSG0000014258313	0	10	6	2	9	3
ENSG000002524041	0	0	0	0	0	0
ENSG0000018075810	18	287	356	341	334	228
ENSG000002078651	0	17	14	38	41	14
ENSG000002285262	0	0	4	9	7	2
ENSG000002345462	0	11	10	17	12	10
ENSG000000492398	161	1994	2726	2103	1896	1172
ENSG000002528411	0	0	0	0	0	0
ENSG000001716219	18	269	442	435	365	290
ENSG000002529561	0	0	0	0	0	0
ENSG000002352631	0	0	0	0	0	0
ENSG000001716126	48	890	1317	1139	1001	659
ENSG000002311811	0	20	18	36	9	7
ENSG000001888078	94	1058	1543	1307	1194	743
ENSG0000017160811	65	586	834	736	758	441
ENSG000001798405	0	0	0	1	0	0
ENSG000002332683	0	0	2	0	0	0
ENSG000002317892	10	148	227	129	123	83
