gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
YFL034C-A,3610.58951835377,-1.79855040174306,0.449771740171267,9.01543509563467e-06,3.81364742366135e-05
YHR170W,2258.54172097676,-2.16740957529963,0.553382575028284,9.15230682286912e-06,3.86887224190483e-05
YKL065C,8072.80592831053,0.831738757334318,0.194431011305136,9.19552211574057e-06,3.88445761700815e-05
YGL195W,2188.231904253,-0.75560050111476,0.175226508615407,9.24873302534814e-06,3.90424102401076e-05
YJL187C,395.029862684281,-1.25468715573639,0.302697342909826,9.42369006632973e-06,3.97535540289485e-05
YNL103W-A,77.6274286720894,-1.30657250247704,0.316273832897911,9.45604605745517e-06,3.98625743234732e-05
YBR299W,52.4322851488719,2.03435197947352,0.513695920767186,9.55551298425745e-06,4.02541603418031e-05
YHL022C,226.0110904709,-1.92454074475493,0.486447730383584,9.60406963867843e-06,4.04308873853856e-05
YDR098C,2616.17527956669,-0.847732100736262,0.198335403213252,9.62353023469798e-06,4.04849680870009e-05
YDL144C,1363.59039314429,1.10917935849821,0.264526201355215,9.6755422022201e-06,4.06758199311739e-05
YHR139C-A,40.7873953171366,2.1309991835174,0.540462952165353,9.69424545861798e-06,4.07264766315722e-05
YGL133W,865.344139876695,0.810396820402911,0.188994087010275,9.8191926176138e-06,4.12230987739465e-05
YMR058W,4542.64382809227,-1.62993071072346,0.405385495206508,9.85605261899726e-06,4.13211630690974e-05
YJR043C,532.308036168635,-1.13687453287491,0.272675078453644,9.85572811180141e-06,4.13211630690974e-05
YIL007C,814.823521063713,0.895333200333428,0.210179394748521,9.88192508032779e-06,4.14012754392104e-05
YPL097W,1341.132765176,1.19634829105214,0.28773418923774,9.94164409724595e-06,4.16229846232849e-05
YDR090C,773.461417527679,-0.759489654389572,0.176989364622238,1.02123108838933e-05,4.27269685032884e-05
YNL298W,482.838717514905,-0.810540858879091,0.189660012899248,1.02617093196073e-05,4.29043188151066e-05
YLR337C,380.545628508249,1.12010574798898,0.268334660190504,1.03795486454451e-05,4.33673837943819e-05
YGR081C,810.107893895347,-1.64664677399265,0.411373509364648,1.04186136535332e-05,4.35009100772693e-05
YOR020C,8026.16012801632,0.839191997045426,0.196612256539597,1.05008392939711e-05,4.38143403670054e-05
YJL219W,40.19200775297,1.8799985504084,0.474169982324317,1.05154786339446e-05,4.38455345493018e-05
YCL002C,762.097008278282,-0.943869829604517,0.223465296602042,1.05253518492899e-05,4.385682686828e-05
YIL071C,412.38936627789,0.895442811990965,0.210983921115981,1.05446067445902e-05,4.39071686283243e-05
YDL031W,1086.05871252121,-1.11021904714242,0.266582360786255,1.05928280989062e-05,4.40779747065975e-05
YDR508C,2418.93437171212,-1.14832789779423,0.276349792064271,1.06393129234966e-05,4.42413277205996e-05
YER178W,6068.85294841577,0.996554693511564,0.236673313480501,1.06618585913211e-05,4.43049806092847e-05
YLR284C,795.513455956038,1.63281400247727,0.407015288362409,1.07505703425603e-05,4.46433114428846e-05
YOL159C-A,345.292358159882,1.29796444505858,0.316829257420758,1.10705240632711e-05,4.59407985025643e-05
YEL003W,1733.40526851732,-0.837462064704077,0.197225004945856,1.10844507545491e-05,4.59674275532488e-05
YNL101W,1409.1996498216,-1.01852525213284,0.243256524199206,1.10967488854037e-05,4.59872714472283e-05
YFR022W,1119.57311090292,1.75458408186718,0.440351019232428,1.11558685440753e-05,4.62009955062823e-05
YBR223C,230.388238089597,1.00812121982323,0.24029338549161,1.11666838718311e-05,4.62145179036365e-05
YGR185C,3010.65670913336,-1.14831477216204,0.277984453437029,1.15970169079276e-05,4.79630679009626e-05
YMR078C,472.968961854003,-1.01096548703217,0.24196492022479,1.16109793427014e-05,4.79883893022791e-05
YOL064C,4379.82514383701,-1.21532105486876,0.296034799252084,1.17507860910111e-05,4.85334424177322e-05
YPR139C,1208.29041758332,-0.826490201331457,0.195071403501587,1.18158402787223e-05,4.87692234295748e-05
YKL117W,9596.93481818846,0.662719846233632,0.154333233856377,1.18713239320134e-05,4.89652114473409e-05
YCL054W,1606.97727780026,-2.01330697203876,0.518936041901092,1.20343636176922e-05,4.96042691608713e-05
YLR060W,3050.60393961881,-1.08667988024964,0.262277059080905,1.21526244903978e-05,5.00580178369614e-05
snR86,688.965111961456,-0.935872141288785,0.22335429893301,1.23372927845401e-05,5.07845118588904e-05
YHL044W,633.716636606914,1.19858573327441,0.292476128575248,1.28245949270786e-05,5.27195067485882e-05
YHR199C,972.808956927682,1.03844984329554,0.24998273702874,1.28208180155937e-05,5.27195067485882e-05
YGR217W,443.91033355035,-0.976873696290102,0.23458033773917,1.30047703335495e-05,5.34242947729237e-05
YOR145C,1414.16512672845,-1.19807788024561,0.293178077874554,1.30865982618461e-05,5.37243916571158e-05
YJL038C,65.4743299094784,1.34173187694997,0.331430403100863,1.31466073351104e-05,5.39345733902218e-05
YNL185C,935.524507610764,1.00449853468358,0.241589328764709,1.32236990591367e-05,5.42145090026628e-05
YNL104C,5416.06901805671,-0.921680474716396,0.220649377824215,1.32783756669609e-05,5.44022339072742e-05
YBR031W,6402.64389575686,-1.44899767871526,0.361608763111386,1.33605758737439e-05,5.47023979419305e-05
YER098W,568.117000864219,1.28183083635814,0.315580749799732,1.34394973412855e-05,5.49887454719307e-05
YOL125W,578.075726854947,-1.03239153074051,0.249904063434696,1.38386570466657e-05,5.65841147512631e-05
YOR225W,76.6900461966926,-1.2131286850396,0.297873500882912,1.38843548285343e-05,5.67330680276759e-05
YDR109C,526.27508953869,0.922877781138431,0.221207477039575,1.39049435335554e-05,5.67792924408889e-05
YHR148W,660.245676524109,-1.98505047287139,0.516405834623806,1.39626278964935e-05,5.69768302362912e-05
